Date,Dernier,Ouv., Plus Haut,Plus Bas
16/01/2001,0.9416,0.9422,0.9442,0.9371
17/01/2001,0.9355,0.9425,0.9449,0.9289
18/01/2001,0.9444,0.9358,0.9468,0.9354
19/01/2001,0.934,0.9427,0.9507,0.9339
22/01/2001,0.9395,0.9341,0.9405,0.927
23/01/2001,0.9379,0.9387,0.9453,0.9371
24/01/2001,0.9214,0.9374,0.9375,0.9213
25/01/2001,0.9245,0.9218,0.9254,0.9113
26/01/2001,0.9242,0.924,0.9321,0.9198
29/01/2001,0.9165,0.9246,0.9264,0.9159
30/01/2001,0.9267,0.9173,0.9281,0.9144
31/01/2001,0.9365,0.9263,0.9373,0.9252
01/02/2001,0.9391,0.9374,0.9448,0.9359
02/02/2001,0.9364,0.9385,0.9423,0.9318
05/02/2001,0.9384,0.9346,0.9446,0.9343
06/02/2001,0.9309,0.9378,0.9389,0.9281
07/02/2001,0.9282,0.9315,0.9356,0.9257
08/02/2001,0.9188,0.9284,0.93,0.9147
09/02/2001,0.9247,0.9179,0.9278,0.9125
12/02/2001,0.9314,0.9254,0.9334,0.9248
13/02/2001,0.9209,0.9318,0.9334,0.9171
14/02/2001,0.9183,0.9196,0.9223,0.9164
15/02/2001,0.9047,0.9183,0.9199,0.9026
16/02/2001,0.9131,0.9052,0.9181,0.9047
19/02/2001,0.922,0.9133,0.9238,0.9121
20/02/2001,0.9123,0.9214,0.9242,0.9049
21/02/2001,0.9096,0.9123,0.9184,0.9058
22/02/2001,0.9052,0.9092,0.9133,0.9016
23/02/2001,0.9176,0.9047,0.9214,0.9027
26/02/2001,0.9118,0.9174,0.919,0.908
27/02/2001,0.9178,0.9109,0.9215,0.9083
28/02/2001,0.9234,0.9187,0.9259,0.9161
01/03/2001,0.9298,0.9239,0.9325,0.9224
02/03/2001,0.9347,0.9299,0.9383,0.9285
05/03/2001,0.9296,0.9365,0.9367,0.9281
06/03/2001,0.9344,0.9289,0.9354,0.9252
07/03/2001,0.9296,0.9344,0.9373,0.9264
